Date,Close,High,Low,Open,Volume
02 January 1962,1.481691837,1.49852942,1.481691837,1.49852942,407940
03 January 1962,1.494642258,1.494642258,1.481690388,1.481690388,305955
04 January 1962,1.479748011,1.494642635,1.479100427,1.494642635,274575
05 January 1962,1.450606823,1.477805645,1.44801639,1.477805645,384405
08 January 1962,1.423407435,1.449311181,1.411750924,1.449311181,572685
09 January 1962,1.44024539,1.458378036,1.42988385,1.42988385,517770
10 January 1962,1.442835927,1.449311769,1.442835927,1.442835927,313800
11 January 1962,1.458377123,1.458377123,1.446720325,1.446720325,337335
12 January 1962,1.460967422,1.471328761,1.460967422,1.460967422,462855
15 January 1962,1.467443466,1.470681482,1.466148202,1.466148202,266730
16 January 1962,1.451901197,1.466148137,1.451901197,1.466148137,266730
17 January 1962,1.428587794,1.44542536,1.424702389,1.44542536,439320
18 January 1962,1.432473779,1.446720721,1.432473779,1.432473779,392250
19 January 1962,1.433768988,1.436359323,1.416931611,1.432473917,423630
22 January 1962,1.431178093,1.44801556,1.429882926,1.433768428,290265
23 January 1962,1.41693151,1.432473814,1.414341174,1.430531063,392250
24 January 1962,1.424702644,1.424702644,1.409808021,1.416931444,431475
25 January 1962,1.409160256,1.436359068,1.406569921,1.424702559,337335
26 January 1962,1.402037621,1.414341817,1.401389939,1.409161047,258885
29 January 1962,1.37807548,1.411750316,1.37807548,1.402036464,611910
30 January 1962,1.360590816,1.385846973,1.360590816,1.37807587,776655
31 January 1962,1.403979659,1.403979659,1.374190508,1.374190508,800190
01 February 1962,1.436359286,1.440244984,1.418226742,1.418226742,674670
02 February 1962,1.445425749,1.445425749,1.429883444,1.436359283,533460
05 February 1962,1.427292585,1.44542522,1.419521484,1.44542522,329490
06 February 1962,1.428782582,1.430078023,1.422305862,1.427487335,274575
07 February 1962,1.430078983,1.437851247,1.430078983,1.430078983,266730
08 February 1962,1.431372881,1.437849793,1.430077537,1.430077537,23535
09 February 1962,1.441737056,1.441737056,1.424897476,1.4313742,455010
12 February 1962,1.443032384,1.453395336,1.440441694,1.441736942,298110
13 February 1962,1.419715047,1.444326874,1.419715047,1.44303153,274575
14 February 1962,1.417124629,1.424896889,1.41453394,1.419715415,219660
15 February 1962,1.411943913,1.417125292,1.410648664,1.417125292,243195
16 February 1962,1.41064775,1.417124373,1.41064775,1.411942997,235350
19 February 1962,1.396398664,1.417124461,1.393807975,1.410647837,298110
20 February 1962,1.397046566,1.40417096,1.397046566,1.397046566,305955
21 February 1962,1.386682987,1.406761106,1.386682987,1.397045931,384405
23 February 1962,1.39121747,1.393808256,1.388626781,1.388626781,305955
26 February 1962,1.386036992,1.392513912,1.383446205,1.391218373,313800
27 February 1962,1.388627172,1.397694876,1.378264316,1.386036482,368715
28 February 1962,1.39121747,1.39121747,1.380854618,1.388626781,282420
01 March 1962,1.40805614,1.40805614,1.396397759,1.396397759,298110
02 March 1962,1.419715047,1.427487208,1.419715047,1.419715047,258885
05 March 1962,1.414533257,1.419714729,1.409351786,1.419714729,376560
06 March 1962,1.415829182,1.421010461,1.411943052,1.414533741,196125
07 March 1962,1.420362115,1.420362115,1.411942286,1.415828413,133365
08 March 1962,1.42359972,1.42359972,1.411941634,1.42036146,196125
09 March 1962,1.432668447,1.432668447,1.424896288,1.424896288,305955
12 March 1962,1.431372881,1.436554256,1.42748685,1.432668322,298110
13 March 1962,1.430078983,1.431374328,1.424897603,1.431374328,133365
14 March 1962,1.42748785,1.433964573,1.424897161,1.430078539,211815
15 March 1962,1.424898148,1.435261008,1.424898148,1.427488839,258885
16 March 1962,1.431372881,1.431372881,1.424896163,1.424896163,172590
19 March 1962,1.435259223,1.440440695,1.433963782,1.433963782,392250
20 March 1962,1.426192522,1.432669439,1.426192522,1.432669439,172590
21 March 1962,1.42748785,1.430078539,1.422306375,1.426192409,274575
22 March 1962,1.411943913,1.422306769,1.411943913,1.422306769,251040
23 March 1962,1.417124629,1.419715415,1.413238693,1.413238693,196125
26 March 1962,1.416476488,1.422305633,1.414533472,1.41712416,141210
27 March 1962,1.389922142,1.413238728,1.388626701,1.413238728,368715
28 March 1962,1.397693872,1.401579807,1.391216862,1.391216862,345180
29 March 1962,1.393808007,1.404170858,1.393808007,1.397694234,243195
30 March 1962,1.380206227,1.391216649,1.373729315,1.391216649,462855
02 April 1962,1.361424088,1.379559199,1.361424088,1.379559199,392250
